"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]"
"10:47:12.390, 11 giu 2023","12,4","0,0","385.876.000","97.586.816"
"10:47:13.382, 11 giu 2023","12,2","0,0","385.876.000","257.477.920"
"10:47:14.384, 11 giu 2023","13,0","0,0","385.876.000","184.215.552"
"10:47:15.385, 11 giu 2023","12,8","0,0","385.876.000","74.051.816"
"10:47:16.391, 11 giu 2023","12,2","0,0","385.876.000","229.344.128"
"10:47:17.385, 11 giu 2023","13,2","0,1","385.876.000","147.564.912"
"10:47:18.424, 11 giu 2023","13,3","0,0","385.876.000","87.240.168"
"10:47:19.386, 11 giu 2023","12,4","0,0","385.876.000","217.129.472"
"10:47:20.425, 11 giu 2023","12,8","0,0","385.876.000","160.493.224"
"10:47:21.444, 11 giu 2023","12,6","0,1","385.876.000","100.304.320"
"10:47:22.472, 11 giu 2023","12,6","0,0","385.876.000","60.233.728"
"10:47:23.393, 11 giu 2023","12,0","0,0","385.876.000","205.846.504"
"10:47:24.393, 11 giu 2023","13,0","0,0","385.876.000","128.875.888"
"10:47:25.394, 11 giu 2023","12,2","0,0","385.876.000","241.360.472"
"10:47:26.397, 11 giu 2023","13,6","0,0","385.876.000","159.703.208"
"10:47:27.397, 11 giu 2023","12,2","0,0","385.876.000","66.116.656"
"10:47:28.412, 11 giu 2023","14,6","0,0","385.876.000","40.961.104"
"10:47:29.722, 11 giu 2023","13,2","0,0","385.876.000","44.461.768"
"10:47:30.730, 11 giu 2023","14,3","0,0","385.876.000","250.051.416"
"10:47:31.752, 11 giu 2023","13,9","0,0","385.876.000","237.545.472"
"10:47:32.776, 11 giu 2023","12,8","0,0","385.876.000","161.361.568"
"10:47:33.801, 11 giu 2023","12,6","0,0","385.876.000","266.239.200"
"10:47:34.820, 11 giu 2023","12,6","0,0","385.876.000","187.243.944"
"10:47:35.855, 11 giu 2023","12,6","0,0","385.876.000","147.656.824"
"10:47:36.397, 11 giu 2023","11,8","0,1","385.876.000","141.476.928"
"10:47:37.463, 11 giu 2023","12,1","0,0","385.876.000","97.705.024"
"10:47:38.397, 11 giu 2023","13,2","0,0","385.876.000","257.160.840"
"10:47:39.399, 11 giu 2023","13,6","0,0","385.876.000","228.495.312"
"10:47:40.400, 11 giu 2023","12,7","0,0","385.876.000","143.962.288"
"10:47:41.407, 11 giu 2023","12,6","0,0","385.876.000","66.353.632"
"10:47:42.589, 11 giu 2023","13,3","0,0","385.876.000","45.192.512"
"10:47:43.402, 11 giu 2023","12,0","0,0","385.876.000","127.100.120"
"10:47:44.407, 11 giu 2023","12,6","0,0","385.876.000","53.235.400"
"10:47:45.403, 11 giu 2023","12,2","0,0","385.876.000","244.740.864"
"10:47:46.747, 11 giu 2023","12,5","0,1","385.876.000","95.672.480"
"10:47:47.743, 11 giu 2023","13,5","0,0","385.876.000","252.608.480"
"10:47:48.772, 11 giu 2023","12,6","0,0","385.876.000","189.233.760"
"10:47:49.407, 11 giu 2023","12,9","0,0","385.876.000","218.934.144"
"10:47:50.406, 11 giu 2023","12,1","0,0","385.876.000","181.144.528"
"10:47:51.407, 11 giu 2023","13,6","0,1","385.876.000","143.498.760"
"10:47:52.455, 11 giu 2023","13,3","0,0","385.876.000","122.429.456"
"10:47:53.412, 11 giu 2023","12,4","0,1","385.876.000","57.522.440"
"10:47:54.417, 11 giu 2023","13,3","0,0","385.876.000","233.678.168"
"10:47:55.412, 11 giu 2023","14,3","0,1","385.876.000","151.890.512"
"10:47:56.410, 11 giu 2023","12,4","0,0","385.876.000","87.411.504"
"10:47:57.412, 11 giu 2023","12,6","0,0","385.876.000","238.406.552"
"10:47:58.412, 11 giu 2023","12,6","0,0","385.876.000","179.550.656"
"10:47:59.433, 11 giu 2023","13,4","0,1","385.876.000","135.243.120"
"10:48:00.418, 11 giu 2023","13,1","0,0","385.876.000","110.287.880"
"10:48:01.820, 11 giu 2023","14,6","0,0","385.876.000","259.222.720"
"10:48:02.832, 11 giu 2023","12,4","0,0","385.876.000","248.675.936"
"10:48:03.854, 11 giu 2023","13,4","0,1","385.876.000","220.056.720"
"10:48:04.417, 11 giu 2023","12,2","0,0","385.876.000","222.348.640"
"10:48:05.418, 11 giu 2023","13,0","0,1","385.876.000","167.929.768"
"10:48:06.449, 11 giu 2023","12,6","0,1","385.876.000","132.296.800"
"10:48:07.530, 11 giu 2023","12,1","0,1","385.876.000","92.324.800"
"10:48:08.526, 11 giu 2023","13,8","0,0","385.876.000","217.896.736"
"10:48:09.458, 11 giu 2023","13,2","0,0","385.876.000","264.280.608"
"10:48:10.587, 11 giu 2023","12,1","0,1","385.876.000","261.105.888"
"10:48:11.637, 11 giu 2023","13,3","0,0","385.876.000","198.783.808"
"10:48:12.421, 11 giu 2023","13,0","0,0","385.876.000","248.059.568"
"10:48:13.426, 11 giu 2023","12,4","0,0","385.876.000","175.761.024"
"10:48:14.675, 11 giu 2023","12,9","0,0","385.876.000","225.273.552"
"10:48:15.712, 11 giu 2023","14,4","0,0","385.876.000","194.216.256"
"10:48:16.747, 11 giu 2023","12,6","0,0","385.876.000","155.339.464"
"10:48:17.424, 11 giu 2023","13,4","0,0","385.876.000","173.139.520"
"10:48:18.833, 11 giu 2023","12,9","0,0","385.876.000","80.665.304"
"10:48:19.815, 11 giu 2023","14,2","0,0","385.876.000","59.693.168"
"10:48:20.425, 11 giu 2023","11,9","0,0","385.876.000","101.745.848"
"10:48:21.436, 11 giu 2023","14,6","0,0","385.876.000","97.511.680"
"10:48:22.473, 11 giu 2023","12,2","0,0","385.876.000","264.140.480"
"10:48:23.521, 11 giu 2023","13,1","0,0","385.876.000","196.105.280"
"10:48:24.436, 11 giu 2023","12,6","0,1","385.876.000","81.049.296"
"10:48:25.427, 11 giu 2023","12,0","0,0","385.876.000","217.280.416"
"10:48:26.427, 11 giu 2023","14,9","0,1","385.876.000","146.196.608"
"10:48:27.431, 11 giu 2023","13,7","0,1","385.876.000","70.698.240"
"10:48:28.429, 11 giu 2023","13,6","0,0","385.876.000","227.980.992"
"10:48:29.426, 11 giu 2023","14,9","0,0","385.876.000","170.142.848"
"10:48:30.428, 11 giu 2023","12,7","0,0","385.876.000","114.171.408"
"10:48:31.429, 11 giu 2023","13,0","0,0","385.876.000","163.826.944"
"10:48:32.433, 11 giu 2023","12,4","0,1","385.876.000","104.616.464"
"10:48:33.435, 11 giu 2023","12,2","0,1","385.876.000","61.030.992"
"10:48:34.433, 11 giu 2023","14,6","0,0","385.876.000","241.774.080"
"10:48:35.481, 11 giu 2023","13,4","0,1","385.876.000","210.316.800"
"10:48:36.517, 11 giu 2023","14,0","0,1","385.876.000","172.710.296"
"10:48:37.559, 11 giu 2023","12,4","0,1","385.876.000","136.802.848"
"10:48:38.440, 11 giu 2023","15,0","0,1","385.876.000","40.588.200"
"10:48:39.717, 11 giu 2023","13,4","0,0","385.876.000","63.516.160"
"10:48:40.441, 11 giu 2023","11,9","0,0","385.876.000","115.788.864"
"10:48:41.727, 11 giu 2023","12,3","0,0","385.876.000","187.297.608"
"10:48:42.741, 11 giu 2023","14,3","0,0","385.876.000","162.607.872"
"10:48:43.764, 11 giu 2023","13,7","0,0","385.876.000","152.124.560"
"10:48:44.852, 11 giu 2023","12,6","0,0","385.876.000","165.652.816"
"10:48:45.874, 11 giu 2023","17,1","0,0","385.876.000","99.286.896"
"10:48:46.833, 11 giu 2023","12,8","0,0","385.876.000","40.084.976"
"10:48:47.855, 11 giu 2023","12,8","0,1","385.876.000","225.502.464"
"10:48:48.451, 11 giu 2023","12,9","0,0","385.876.000","181.869.968"
"10:48:49.452, 11 giu 2023","12,4","0,0","385.876.000","62.807.936"
"10:48:50.466, 11 giu 2023","12,6","0,0","385.876.000","189.678.800"
"10:48:51.454, 11 giu 2023","12,9","0,0","385.876.000","116.424.752"
"10:48:52.574, 11 giu 2023","12,2","0,0","385.876.000","169.067.904"
"10:48:53.572, 11 giu 2023","13,5","0,0","385.876.000","164.906.048"
"10:48:54.457, 11 giu 2023","14,3","0,0","385.876.000","64.970.080"
"10:48:55.676, 11 giu 2023","11,9","0,0","385.876.000","262.745.088"
"10:48:56.459, 11 giu 2023","13,3","0,1","385.876.000","99.500.480"
"10:48:57.459, 11 giu 2023","12,4","0,0","385.876.000","248.508.640"
"10:48:58.788, 11 giu 2023","12,3","0,1","385.876.000","84.313.984"
"10:48:59.462, 11 giu 2023","15,6","0,0","385.876.000","107.480.752"
"10:49:00.464, 11 giu 2023","13,0","0,0","385.876.000","245.722.336"
"10:49:01.465, 11 giu 2023","12,4","0,0","385.876.000","185.004.160"
"10:49:02.466, 11 giu 2023","12,2","0,0","385.876.000","157.912.464"
"10:49:03.467, 11 giu 2023","13,7","0,0","385.876.000","65.531.184"
"10:49:04.557, 11 giu 2023","13,0","0,0","385.876.000","239.292.200"
"10:49:05.471, 11 giu 2023","12,2","0,0","385.876.000","105.066.096"
"10:49:06.640, 11 giu 2023","12,1","0,0","385.876.000","142.688.192"
"10:49:07.474, 11 giu 2023","12,5","0,0","385.876.000","46.339.824"
"10:49:08.742, 11 giu 2023","12,4","0,0","385.876.000","227.325.840"
"10:49:09.690, 11 giu 2023","13,5","0,0","385.876.000","141.592.192"
"10:49:10.703, 11 giu 2023","12,2","0,0","385.876.000","76.527.832"
"10:49:11.738, 11 giu 2023","12,9","0,0","385.876.000","245.108.704"
"10:49:12.812, 11 giu 2023","12,3","0,0","385.876.000","214.345.904"
"10:49:13.480, 11 giu 2023","13,1","0,0","385.876.000","253.184.704"
"10:49:14.481, 11 giu 2023","13,5","0,1","385.876.000","215.818.184"
"10:49:15.835, 11 giu 2023","13,6","0,1","385.876.000","63.288.272"
"10:49:16.860, 11 giu 2023","13,3","0,0","385.876.000","54.015.624"
"10:49:17.892, 11 giu 2023","14,5","0,0","385.876.000","129.685.536"
"10:49:18.485, 11 giu 2023","13,2","0,0","385.876.000","119.110.016"
"10:49:19.505, 11 giu 2023","13,9","0,0","385.876.000","43.644.824"
"10:49:20.533, 11 giu 2023","11,9","0,0","385.876.000","194.632.088"
"10:49:21.487, 11 giu 2023","12,4","0,0","385.876.000","114.397.568"
"10:49:22.488, 11 giu 2023","13,0","0,0","385.876.000","75.847.408"
"10:49:23.489, 11 giu 2023","13,7","0,0","385.876.000","61.332.000"
"10:49:24.490, 11 giu 2023","13,4","0,0","385.876.000","205.289.792"
"10:49:25.491, 11 giu 2023","12,8","0,0","385.876.000","148.170.456"
"10:49:26.492, 11 giu 2023","12,2","0,1","385.876.000","62.602.688"
"10:49:27.494, 11 giu 2023","13,0","0,0","385.876.000","245.048.800"
"10:49:28.495, 11 giu 2023","12,2","0,0","385.876.000","124.064.784"
"10:49:29.496, 11 giu 2023","12,2","0,0","385.876.000","72.318.592"
"10:49:30.497, 11 giu 2023","12,2","0,0","385.876.000","61.880.032"
"10:49:31.498, 11 giu 2023","13,0","0,0","385.876.000","261.156.352"
"10:49:32.499, 11 giu 2023","12,8","0,0","385.876.000","223.409.984"
"10:49:33.500, 11 giu 2023","12,2","0,0","385.876.000","77.008.560"
"10:49:34.501, 11 giu 2023","13,2","0,0","385.876.000","217.660.912"
"10:49:35.502, 11 giu 2023","12,6","0,0","385.876.000","133.742.192"
"10:49:36.503, 11 giu 2023","13,8","0,0","385.876.000","47.647.008"
"10:49:37.547, 11 giu 2023","11,9","0,0","385.876.000","103.163.392"
"10:49:38.578, 11 giu 2023","12,4","0,0","385.876.000","265.154.040"
"10:49:39.507, 11 giu 2023","12,6","0,1","385.876.000","178.853.696"
"10:49:40.508, 11 giu 2023","12,5","0,0","385.876.000","112.135.232"
"10:49:41.509, 11 giu 2023","12,7","0,0","385.876.000","265.237.744"
"10:49:42.510, 11 giu 2023","14,6","0,0","385.876.000","128.795.456"
"10:49:43.511, 11 giu 2023","12,2","0,0","385.876.000","48.960.512"
"10:49:44.512, 11 giu 2023","13,5","0,0","385.876.000","170.796.560"
"10:49:45.513, 11 giu 2023","12,4","0,0","385.876.000","78.635.184"
"10:49:46.514, 11 giu 2023","12,8","0,0","385.876.000","214.794.880"
"10:49:47.515, 11 giu 2023","12,2","0,0","385.876.000","61.041.408"
"10:49:48.515, 11 giu 2023","12,2","0,0","385.876.000","208.674.656"
"10:49:49.877, 11 giu 2023","13,5","0,0","385.876.000","51.472.512"
"10:49:50.518, 11 giu 2023","12,5","0,0","385.876.000","68.305.080"
"10:49:51.519, 11 giu 2023","12,2","0,0","385.876.000","240.557.376"
"10:49:52.520, 11 giu 2023","13,0","0,0","385.876.000","221.622.416"
"10:49:53.521, 11 giu 2023","12,2","0,0","385.876.000","211.218.952"
"10:49:54.573, 11 giu 2023","14,1","0,0","385.876.000","153.722.304"
"10:49:55.606, 11 giu 2023","12,0","0,0","385.876.000","118.303.712"
"10:49:56.524, 11 giu 2023","13,3","0,0","385.876.000","255.241.584"
"10:49:57.525, 11 giu 2023","12,2","0,0","385.876.000","207.119.536"
"10:49:58.526, 11 giu 2023","13,3","0,0","385.876.000","146.340.544"
"10:49:59.528, 11 giu 2023","12,6","0,0","385.876.000","42.291.936"
"10:50:00.529, 11 giu 2023","13,2","0,0","385.876.000","207.920.112"
"10:50:01.530, 11 giu 2023","11,7","0,0","385.876.000","160.598.800"
"10:50:02.798, 11 giu 2023","12,9","0,0","385.876.000","235.422.272"
"10:50:03.533, 11 giu 2023","15,3","0,1","385.876.000","97.131.136"
"10:50:04.534, 11 giu 2023","12,9","0,0","385.876.000","62.230.208"
"10:50:05.536, 11 giu 2023","13,1","0,0","385.876.000","145.361.512"
"10:50:06.537, 11 giu 2023","12,2","0,0","385.876.000","65.645.168"
"10:50:07.577, 11 giu 2023","12,6","0,0","385.876.000","257.221.392"
"10:50:08.599, 11 giu 2023","12,5","0,0","385.876.000","201.773.808"
"10:50:09.563, 11 giu 2023","12,4","0,1","385.876.000","115.836.776"
"10:50:10.585, 11 giu 2023","12,6","0,0","385.876.000","50.870.928"
"10:50:11.599, 11 giu 2023","12,4","0,0","385.876.000","205.978.752"
"10:50:12.541, 11 giu 2023","12,2","0,0","385.876.000","125.247.576"
"10:50:13.646, 11 giu 2023","12,7","0,0","385.876.000","151.042.448"
"10:50:14.743, 11 giu 2023","11,9","0,0","385.876.000","173.211.520"
"10:50:15.544, 11 giu 2023","12,4","0,0","385.876.000","50.366.992"
"10:50:16.770, 11 giu 2023","12,8","0,0","385.876.000","79.332.352"
"10:50:17.546, 11 giu 2023","11,5","0,0","385.876.000","150.655.232"
"10:50:18.547, 11 giu 2023","12,6","0,0","385.876.000","60.019.144"
"10:50:19.878, 11 giu 2023","13,6","0,0","385.876.000","160.870.976"
"10:50:20.549, 11 giu 2023","15,7","0,0","385.876.000","190.253.464"
"10:50:21.551, 11 giu 2023","12,2","0,0","385.876.000","102.848.888"
"10:50:22.552, 11 giu 2023","12,2","0,0","385.876.000","199.328.040"
"10:50:23.553, 11 giu 2023","14,4","0,0","385.876.000","155.304.584"
"10:50:24.554, 11 giu 2023","13,3","0,1","385.876.000","111.384.960"
"10:50:25.624, 11 giu 2023","13,9","0,1","385.876.000","119.638.176"
"10:50:26.579, 11 giu 2023","12,4","0,1","385.876.000","73.663.360"
"10:50:27.559, 11 giu 2023","12,8","0,0","385.876.000","258.209.512"
"10:50:28.561, 11 giu 2023","13,1","0,1","385.876.000","224.680.352"
"10:50:29.685, 11 giu 2023","14,1","0,1","385.876.000","241.716.296"
"10:50:30.704, 11 giu 2023","15,1","0,1","385.876.000","210.157.712"
"10:50:31.728, 11 giu 2023","12,6","0,1","385.876.000","168.230.128"
"10:50:32.567, 11 giu 2023","12,7","0,1","385.876.000","239.890.048"
"10:50:33.569, 11 giu 2023","12,1","0,0","385.876.000","119.781.440"
"10:50:34.570, 11 giu 2023","12,1","0,0","385.876.000","226.749.952"
"10:50:35.909, 11 giu 2023","12,8","0,0","385.876.000","68.068.928"
"10:50:36.574, 11 giu 2023","15,0","0,0","385.876.000","80.175.704"
"10:50:37.575, 11 giu 2023","13,7","0,0","385.876.000","224.615.936"
"10:50:38.577, 11 giu 2023","12,2","0,0","385.876.000","178.523.784"
"10:50:39.579, 11 giu 2023","13,1","0,0","385.876.000","104.735.488"
"10:50:40.580, 11 giu 2023","14,7","0,0","385.876.000","47.407.776"
"10:50:41.581, 11 giu 2023","12,2","0,0","385.876.000","194.341.376"
"10:50:42.582, 11 giu 2023","13,0","0,1","385.876.000","72.429.120"
"10:50:43.583, 11 giu 2023","12,0","0,0","385.876.000","194.053.568"
"10:50:44.584, 11 giu 2023","13,2","0,1","385.876.000","102.523.928"
"10:50:45.586, 11 giu 2023","12,4","0,0","385.876.000","56.098.464"
"10:50:46.756, 11 giu 2023","12,9","0,0","385.876.000","100.547.064"
"10:50:47.794, 11 giu 2023","11,9","0,0","385.876.000","85.778.912"
"10:50:48.589, 11 giu 2023","13,0","0,0","385.876.000","196.939.216"
"10:50:49.591, 11 giu 2023","12,2","0,0","385.876.000","167.752.024"
"10:50:50.592, 11 giu 2023","14,2","0,0","385.876.000","118.743.440"
"10:50:51.593, 11 giu 2023","11,8","0,0","385.876.000","49.441.296"
"10:50:52.594, 11 giu 2023","12,2","0,0","385.876.000","219.382.992"
"10:50:53.595, 11 giu 2023","12,8","0,0","385.876.000","162.620.160"
"10:50:54.597, 11 giu 2023","13,4","0,0","385.876.000","132.022.880"
"10:50:55.598, 11 giu 2023","11,8","0,0","385.876.000","54.231.616"
"10:50:56.635, 11 giu 2023","12,6","0,0","385.876.000","48.158.752"
"10:50:57.602, 11 giu 2023","12,6","0,0","385.876.000","228.610.592"
"10:50:58.603, 11 giu 2023","12,8","0,0","385.876.000","186.621.472"
"10:50:59.604, 11 giu 2023","14,5","0,0","385.876.000","108.888.912"
"10:51:00.605, 11 giu 2023","12,0","0,0","385.876.000","244.892.712"
"10:51:01.832, 11 giu 2023","12,3","0,0","385.876.000","249.279.352"
"10:51:02.607, 11 giu 2023","12,4","0,0","385.876.000","115.497.688"
"10:51:03.608, 11 giu 2023","12,6","0,0","385.876.000","91.211.072"
"10:51:04.610, 11 giu 2023","13,2","0,0","385.876.000","74.745.472"
"10:51:05.612, 11 giu 2023","12,3","0,0","385.876.000","57.896.672"
"10:51:06.613, 11 giu 2023","12,8","0,0","385.876.000","227.846.472"
"10:51:07.615, 11 giu 2023","13,7","0,0","385.876.000","156.473.792"
"10:51:08.617, 11 giu 2023","12,2","0,0","385.876.000","240.358.640"
"10:51:09.619, 11 giu 2023","13,0","0,0","385.876.000","115.421.000"
"10:51:10.620, 11 giu 2023","12,8","0,0","385.876.000","77.045.544"
"10:51:11.622, 11 giu 2023","12,0","0,0","385.876.000","272.005.248"
"10:51:12.624, 11 giu 2023","13,5","0,0","385.876.000","230.142.336"
"10:51:13.626, 11 giu 2023","13,0","0,0","385.876.000","180.516.536"
"10:51:14.627, 11 giu 2023","13,0","0,0","385.876.000","103.457.008"
"10:51:15.847, 11 giu 2023","12,5","0,0","385.876.000","130.056.488"
"10:51:16.887, 11 giu 2023","12,6","0,0","385.876.000","72.037.568"
"10:51:17.632, 11 giu 2023","12,2","0,0","385.876.000","132.923.496"
"10:51:18.634, 11 giu 2023","13,7","0,0","385.876.000","73.546.544"
"10:51:19.635, 11 giu 2023","13,2","0,0","385.876.000","247.224.448"
"10:51:20.636, 11 giu 2023","12,2","0,0","385.876.000","205.138.288"
"10:51:21.638, 11 giu 2023","12,2","0,0","385.876.000","109.624.448"
"10:51:22.639, 11 giu 2023","13,0","0,0","385.876.000","55.540.984"
"10:51:23.640, 11 giu 2023","12,0","0,0","385.876.000","234.013.952"
"10:51:24.641, 11 giu 2023","12,2","0,0","385.876.000","171.184.416"
"10:51:25.642, 11 giu 2023","13,2","0,0","385.876.000","77.428.992"
"10:51:26.643, 11 giu 2023","12,4","0,0","385.876.000","236.363.408"
"10:51:27.645, 11 giu 2023","13,5","0,0","385.876.000","110.780.096"
"10:51:28.646, 11 giu 2023","13,2","0,0","385.876.000","249.270.304"
"10:51:29.648, 11 giu 2023","13,2","0,0","385.876.000","161.021.824"
"10:51:30.649, 11 giu 2023","13,2","0,1","385.876.000","83.410.304"
"10:51:31.651, 11 giu 2023","12,2","0,0","385.876.000","204.069.696"
"10:51:32.653, 11 giu 2023","12,2","0,1","385.876.000","122.257.496"
"10:51:33.655, 11 giu 2023","14,2","0,1","385.876.000","69.934.336"
"10:51:34.657, 11 giu 2023","12,0","0,0","385.876.000","192.184.496"
"10:51:35.658, 11 giu 2023","13,5","0,0","385.876.000","82.676.856"
"10:51:36.718, 11 giu 2023","13,7","0,0","385.876.000","49.583.248"
"10:51:37.668, 11 giu 2023","12,4","0,0","385.876.000","198.535.632"
"10:51:38.662, 11 giu 2023","13,4","0,0","385.876.000","109.671.872"
"10:51:39.663, 11 giu 2023","14,0","0,0","385.876.000","250.353.952"
"10:51:40.664, 11 giu 2023","12,2","0,0","385.876.000","144.763.200"
"10:51:41.666, 11 giu 2023","12,6","0,0","385.876.000","54.102.032"
"10:51:42.667, 11 giu 2023","12,8","0,0","385.876.000","210.328.760"
"10:51:43.668, 11 giu 2023","13,5","0,0","385.876.000","183.375.552"
"10:51:44.670, 11 giu 2023","12,2","0,1","385.876.000","160.237.416"
"10:51:45.671, 11 giu 2023","13,0","0,1","385.876.000","116.523.136"
"10:51:46.672, 11 giu 2023","12,2","0,1","385.876.000","80.766.560"
"10:51:47.673, 11 giu 2023","12,2","0,0","385.876.000","248.549.360"
"10:51:48.674, 11 giu 2023","16,1","0,1","385.876.000","194.026.824"
"10:51:49.675, 11 giu 2023","13,4","0,1","385.876.000","141.589.680"
"10:51:50.677, 11 giu 2023","14,9","0,1","385.876.000","66.489.136"
"10:51:51.677, 11 giu 2023","12,2","0,0","385.876.000","215.541.200"
"10:51:52.678, 11 giu 2023","13,2","0,1","385.876.000","121.197.784"
"10:51:53.679, 11 giu 2023","12,4","0,0","385.876.000","261.696.320"
"10:51:54.680, 11 giu 2023","12,8","0,1","385.876.000","181.894.096"
"10:51:55.681, 11 giu 2023","13,3","0,1","385.876.000","108.352.752"
"10:51:56.683, 11 giu 2023","14,2","0,0","385.876.000","255.031.552"
"10:51:57.685, 11 giu 2023","13,5","0,0","385.876.000","212.251.968"
"10:51:58.686, 11 giu 2023","13,6","0,0","385.876.000","182.173.696"
"10:51:59.688, 11 giu 2023","13,0","0,0","385.876.000","149.010.240"
"10:52:00.690, 11 giu 2023","12,6","0,0","385.876.000","86.393.392"
"10:52:01.692, 11 giu 2023","13,4","0,0","385.876.000","215.809.512"
"10:52:02.693, 11 giu 2023","13,7","0,0","385.876.000","120.852.528"
"10:52:03.836, 11 giu 2023","13,1","0,0","385.876.000","66.626.720"
"10:52:04.883, 11 giu 2023","13,1","0,0","385.876.000","207.121.000"
"10:52:05.697, 11 giu 2023","12,2","0,0","385.876.000","272.071.168"
"10:52:06.699, 11 giu 2023","13,2","0,0","385.876.000","181.799.896"
"10:52:07.700, 11 giu 2023","12,0","0,0","385.876.000","106.677.352"
"10:52:08.701, 11 giu 2023","13,0","0,0","385.876.000","56.026.800"
"10:52:09.702, 11 giu 2023","12,2","0,0","385.876.000","223.960.992"
"10:52:10.703, 11 giu 2023","13,5","0,0","385.876.000","173.591.864"
"10:52:11.705, 11 giu 2023","13,0","0,0","385.876.000","124.346.312"
"10:52:12.706, 11 giu 2023","13,7","0,0","385.876.000","52.314.112"
"10:52:13.707, 11 giu 2023","12,0","0,0","385.876.000","270.572.472"
"10:52:14.708, 11 giu 2023","13,0","0,0","385.876.000","260.299.584"
"10:52:15.709, 11 giu 2023","12,2","0,0","385.876.000","120.178.920"
"10:52:16.711, 11 giu 2023","12,6","0,0","385.876.000","65.767.296"
"10:52:17.828, 11 giu 2023","12,0","0,0","385.876.000","186.846.864"
"10:52:18.845, 11 giu 2023","14,3","0,0","385.876.000","107.235.344"
"10:52:19.869, 11 giu 2023","12,6","0,1","385.876.000","53.605.008"
"10:52:20.717, 11 giu 2023","12,7","0,0","385.876.000","164.767.808"
"10:52:21.718, 11 giu 2023","12,6","0,1","385.876.000","106.099.584"
"10:52:22.719, 11 giu 2023","12,6","0,0","385.876.000","267.582.592"
"10:52:23.720, 11 giu 2023","13,5","0,1","385.876.000","198.370.048"
"10:52:24.722, 11 giu 2023","13,8","0,0","385.876.000","97.693.696"
"10:52:25.723, 11 giu 2023","12,9","0,0","385.876.000","267.663.936"
"10:52:26.725, 11 giu 2023","12,2","0,0","385.876.000","236.316.288"
"10:52:27.726, 11 giu 2023","14,0","0,0","385.876.000","160.888.576"
"10:52:28.727, 11 giu 2023","12,2","0,1","385.876.000","65.938.800"
"10:52:29.728, 11 giu 2023","12,6","0,0","385.876.000","227.672.448"
"10:52:30.729, 11 giu 2023","12,2","0,1","385.876.000","166.774.584"
"10:52:31.731, 11 giu 2023","13,5","0,1","385.876.000","86.306.816"
"10:52:32.733, 11 giu 2023","12,6","0,0","385.876.000","247.627.008"
"10:52:33.735, 11 giu 2023","12,6","0,1","385.876.000","172.179.328"
"10:52:34.737, 11 giu 2023","12,6","0,0","385.876.000","81.817.232"
"10:52:35.754, 11 giu 2023","12,8","0,0","385.876.000","243.463.864"
"10:52:36.791, 11 giu 2023","12,8","0,0","385.876.000","192.381.632"
"10:52:37.798, 11 giu 2023","13,7","0,0","385.876.000","136.925.312"
"10:52:38.743, 11 giu 2023","12,4","0,0","385.876.000","62.281.120"
"10:52:39.745, 11 giu 2023","12,4","0,0","385.876.000","161.415.016"
"10:52:40.747, 11 giu 2023","12,8","0,0","385.876.000","111.972.048"
"10:52:41.748, 11 giu 2023","12,0","0,0","385.876.000","103.782.432"
"10:52:42.750, 11 giu 2023","12,6","0,0","385.876.000","252.528.232"
"10:52:43.751, 11 giu 2023","12,6","0,0","385.876.000","161.639.296"
"10:52:44.753, 11 giu 2023","12,8","0,0","385.876.000","270.607.360"
"10:52:45.754, 11 giu 2023","13,6","0,1","385.876.000","203.088.576"
"10:52:46.756, 11 giu 2023","12,7","0,1","385.876.000","157.429.472"
"10:52:47.757, 11 giu 2023","12,6","0,1","385.876.000","96.731.944"
"10:52:48.758, 11 giu 2023","13,3","0,0","385.876.000","251.959.232"
"10:52:49.760, 11 giu 2023","13,8","0,1","385.876.000","188.927.648"
"10:52:50.762, 11 giu 2023","12,6","0,1","385.876.000","130.197.872"
"10:52:51.764, 11 giu 2023","12,4","0,1","385.876.000","73.421.064"
"10:52:52.765, 11 giu 2023","14,2","0,0","385.876.000","247.206.784"
"10:52:53.766, 11 giu 2023","12,4","0,0","385.876.000","175.477.568"
"10:52:54.768, 11 giu 2023","13,2","0,0","385.876.000","130.827.320"
"10:52:55.769, 11 giu 2023","12,2","0,1","385.876.000","73.082.336"
"10:52:56.770, 11 giu 2023","14,4","0,0","385.876.000","245.416.448"
"10:52:57.771, 11 giu 2023","11,8","0,1","385.876.000","193.261.568"
"10:52:58.773, 11 giu 2023","12,4","0,1","385.876.000","130.347.008"
"10:52:59.774, 11 giu 2023","13,8","0,1","385.876.000","69.381.136"
"10:53:00.775, 11 giu 2023","12,6","0,0","385.876.000","230.995.992"
"10:53:01.776, 11 giu 2023","12,2","0,1","385.876.000","167.799.560"
"10:53:02.777, 11 giu 2023","14,2","0,1","385.876.000","115.357.760"
"10:53:03.778, 11 giu 2023","13,5","0,0","385.876.000","225.814.208"
"10:53:04.780, 11 giu 2023","12,8","0,0","385.876.000","158.477.088"
"10:53:05.782, 11 giu 2023","12,4","0,0","385.876.000","93.714.152"
"10:53:06.783, 11 giu 2023","12,2","0,0","385.876.000","247.020.496"
"10:53:07.785, 11 giu 2023","14,0","0,1","385.876.000","169.272.344"
"10:53:08.787, 11 giu 2023","12,2","0,0","385.876.000","71.476.400"
"10:53:09.788, 11 giu 2023","13,1","0,0","385.876.000","201.100.544"
