"Time [ms]","Size [B]","Used [B]","CPU usage [%]","GC activity [%]"
"19:11:38.449, 10 giu 2023","3.447.717.920","2.541.880.832","12,0","0,0"
"19:11:39.451, 10 giu 2023","3.447.717.920","2.541.880.832","13,0","0,0"
"19:11:40.453, 10 giu 2023","3.447.717.920","2.541.880.832","12,2","0,0"
"19:11:41.455, 10 giu 2023","3.447.717.920","2.543.977.984","12,6","0,0"
"19:11:42.456, 10 giu 2023","3.447.717.920","2.543.977.984","12,2","0,0"
"19:11:43.457, 10 giu 2023","3.447.717.920","2.543.977.984","13,0","0,0"
"19:11:44.459, 10 giu 2023","3.447.717.920","2.543.977.984","12,3","0,0"
"19:11:45.461, 10 giu 2023","3.447.717.920","2.543.977.984","12,2","0,0"
"19:11:46.462, 10 giu 2023","3.447.717.920","2.543.977.984","12,2","0,0"
"19:11:47.464, 10 giu 2023","3.447.717.920","2.543.977.984","13,1","0,0"
"19:11:48.466, 10 giu 2023","3.447.717.920","2.546.075.136","12,3","0,0"
"19:11:49.467, 10 giu 2023","3.447.717.920","2.546.075.136","12,5","0,0"
"19:11:50.468, 10 giu 2023","3.447.717.920","2.546.075.136","12,2","0,0"
"19:11:51.470, 10 giu 2023","3.447.717.920","2.546.075.136","12,8","0,0"
"19:11:52.471, 10 giu 2023","3.447.717.920","2.546.075.136","12,4","0,0"
"19:11:53.473, 10 giu 2023","3.447.717.920","2.546.075.136","12,2","0,0"
"19:11:54.474, 10 giu 2023","3.447.717.920","2.546.075.136","13,0","0,0"
"19:11:55.475, 10 giu 2023","3.447.717.920","2.546.075.136","12,1","0,0"
"19:11:56.476, 10 giu 2023","3.447.717.920","2.546.075.136","12,2","0,0"
"19:11:57.477, 10 giu 2023","3.447.717.920","2.546.075.136","13,1","0,0"
"19:11:58.478, 10 giu 2023","3.447.717.920","2.548.172.288","12,4","0,0"
"19:11:59.480, 10 giu 2023","3.447.717.920","2.548.172.288","12,2","0,0"
"19:12:00.481, 10 giu 2023","3.447.717.920","2.548.172.288","12,0","0,0"
"19:12:01.482, 10 giu 2023","3.447.717.920","2.548.172.288","12,4","0,0"
"19:12:02.484, 10 giu 2023","3.447.717.920","2.548.172.288","13,0","0,0"
"19:12:03.485, 10 giu 2023","3.447.717.920","2.548.172.288","12,4","0,0"
"19:12:04.486, 10 giu 2023","3.447.717.920","2.548.172.288","13,2","0,0"
"19:12:05.487, 10 giu 2023","3.447.717.920","2.548.172.288","12,2","0,0"
"19:12:06.488, 10 giu 2023","3.447.717.920","2.548.172.288","12,6","0,0"
"19:12:07.489, 10 giu 2023","3.447.717.920","2.550.269.440","12,4","0,0"
"19:12:08.491, 10 giu 2023","3.447.717.920","2.550.269.440","11,9","0,0"
"19:12:09.492, 10 giu 2023","3.447.717.920","2.550.269.440","12,8","0,0"
"19:12:10.493, 10 giu 2023","3.447.717.920","2.550.269.440","12,4","0,0"
"19:12:11.494, 10 giu 2023","3.447.717.920","2.550.269.440","12,9","0,0"
"19:12:12.495, 10 giu 2023","3.447.717.920","2.550.269.440","12,2","0,0"
"19:12:13.497, 10 giu 2023","3.447.717.920","2.550.269.440","12,2","0,0"
"19:12:14.498, 10 giu 2023","3.447.717.920","2.550.269.440","12,9","0,0"
"19:12:15.499, 10 giu 2023","3.447.717.920","2.552.366.592","11,8","0,0"
"19:12:16.500, 10 giu 2023","3.447.717.920","2.552.366.592","13,1","0,0"
"19:12:17.502, 10 giu 2023","3.447.717.920","2.552.366.592","12,3","0,0"
"19:12:18.504, 10 giu 2023","3.447.717.920","2.552.366.592","12,3","0,0"
"19:12:19.505, 10 giu 2023","3.447.717.920","2.552.366.592","12,2","0,0"
"19:12:20.506, 10 giu 2023","3.447.717.920","2.552.366.592","12,5","0,0"
"19:12:21.508, 10 giu 2023","3.447.717.920","2.552.366.592","13,2","0,0"
"19:12:22.509, 10 giu 2023","3.447.717.920","2.552.366.592","12,2","0,0"
"19:12:23.510, 10 giu 2023","3.447.717.920","2.554.463.744","12,6","0,0"
"19:12:24.511, 10 giu 2023","3.447.717.920","2.554.463.744","12,2","0,0"
"19:12:25.512, 10 giu 2023","3.447.717.920","2.554.463.744","13,0","0,0"
"19:12:26.514, 10 giu 2023","3.447.717.920","2.554.463.744","12,7","0,0"
"19:12:27.515, 10 giu 2023","3.447.717.920","2.554.463.744","12,3","0,0"
"19:12:28.517, 10 giu 2023","3.447.717.920","2.554.463.744","12,2","0,0"
"19:12:29.518, 10 giu 2023","3.447.717.920","2.554.463.744","12,4","0,0"
"19:12:30.519, 10 giu 2023","3.447.717.920","2.554.463.744","13,1","0,0"
"19:12:31.521, 10 giu 2023","3.447.717.920","2.554.463.744","12,2","0,0"
"19:12:32.522, 10 giu 2023","3.447.717.920","2.556.560.896","12,3","0,0"
"19:12:33.523, 10 giu 2023","3.447.717.920","2.556.560.896","12,2","0,0"
"19:12:34.525, 10 giu 2023","3.447.717.920","2.556.560.896","13,1","0,0"
"19:12:35.526, 10 giu 2023","3.447.717.920","2.556.560.896","12,3","0,0"
"19:12:36.527, 10 giu 2023","3.447.717.920","2.556.560.896","12,2","0,0"
"19:12:37.529, 10 giu 2023","3.447.717.920","2.556.560.896","12,2","0,0"
"19:12:38.530, 10 giu 2023","3.447.717.920","2.556.560.896","13,1","0,0"
"19:12:39.532, 10 giu 2023","3.447.717.920","2.556.560.896","12,4","0,0"
"19:12:40.533, 10 giu 2023","3.447.717.920","2.558.658.048","12,8","0,0"
"19:12:41.534, 10 giu 2023","3.447.717.920","2.558.658.048","12,7","0,0"
"19:12:42.535, 10 giu 2023","3.447.717.920","2.558.658.048","12,2","0,0"
"19:12:43.537, 10 giu 2023","3.447.717.920","2.558.658.048","12,3","0,0"
"19:12:44.539, 10 giu 2023","3.447.717.920","2.558.658.048","12,9","0,0"
"19:12:45.540, 10 giu 2023","3.447.717.920","2.558.658.048","12,2","0,0"
"19:12:46.542, 10 giu 2023","3.447.717.920","2.558.658.048","12,3","0,0"
"19:12:47.543, 10 giu 2023","3.447.717.920","2.560.755.200","12,2","0,0"
"19:12:48.545, 10 giu 2023","3.447.717.920","2.560.755.200","13,0","0,0"
"19:12:49.546, 10 giu 2023","3.447.717.920","2.560.755.200","12,1","0,0"
"19:12:50.546, 10 giu 2023","3.447.717.920","2.560.755.200","12,3","0,0"
"19:12:51.547, 10 giu 2023","3.447.717.920","2.560.755.200","12,3","0,0"
"19:12:52.548, 10 giu 2023","3.447.717.920","2.560.755.200","13,1","0,0"
"19:12:53.549, 10 giu 2023","3.447.717.920","2.560.755.200","12,4","0,0"
"19:12:54.550, 10 giu 2023","3.447.717.920","2.560.755.200","12,2","0,0"
"19:12:55.552, 10 giu 2023","3.447.717.920","2.560.755.200","12,2","0,0"
"19:12:56.553, 10 giu 2023","3.447.717.920","2.560.755.200","13,0","0,0"
"19:12:57.554, 10 giu 2023","3.447.717.920","2.562.852.352","12,4","0,0"
"19:12:58.555, 10 giu 2023","3.447.717.920","2.562.852.352","12,4","0,0"
"19:12:59.556, 10 giu 2023","3.447.717.920","2.562.852.352","12,2","0,0"
"19:13:00.557, 10 giu 2023","3.447.717.920","2.562.852.352","12,8","0,0"
"19:13:01.558, 10 giu 2023","3.447.717.920","2.562.852.352","12,2","0,0"
"19:13:02.559, 10 giu 2023","3.447.717.920","2.562.852.352","12,2","0,0"
"19:13:03.560, 10 giu 2023","3.447.717.920","2.562.852.352","13,0","0,0"
"19:13:04.561, 10 giu 2023","3.447.717.920","2.562.852.352","12,0","0,0"
"19:13:05.562, 10 giu 2023","3.447.717.920","2.564.949.504","12,2","0,0"
"19:13:06.564, 10 giu 2023","3.447.717.920","2.564.949.504","12,2","0,0"
"19:13:07.566, 10 giu 2023","3.447.717.920","2.564.949.504","13,2","0,0"
"19:13:08.567, 10 giu 2023","3.447.717.920","2.564.949.504","12,2","0,0"
"19:13:09.569, 10 giu 2023","3.447.717.920","2.564.949.504","12,2","0,0"
"19:13:10.570, 10 giu 2023","3.447.717.920","2.564.949.504","13,0","0,0"
"19:13:11.571, 10 giu 2023","3.447.717.920","2.567.046.656","12,2","0,0"
"19:13:12.572, 10 giu 2023","3.447.717.920","2.567.046.656","12,3","0,0"
"19:13:13.573, 10 giu 2023","3.447.717.920","2.567.046.656","12,3","0,0"
"19:13:14.574, 10 giu 2023","3.447.717.920","2.567.046.656","12,3","0,0"
"19:13:15.575, 10 giu 2023","3.447.717.920","2.567.046.656","13,3","0,0"
"19:13:16.576, 10 giu 2023","3.447.717.920","2.567.046.656","12,0","0,0"
"19:13:17.577, 10 giu 2023","3.447.717.920","2.567.046.656","13,2","0,0"
"19:13:18.579, 10 giu 2023","3.447.717.920","2.567.046.656","12,2","0,0"
"19:13:19.581, 10 giu 2023","3.447.717.920","2.567.046.656","12,4","0,0"
"19:13:20.582, 10 giu 2023","3.447.717.920","2.567.046.656","12,3","0,0"
"19:13:21.583, 10 giu 2023","3.447.717.920","2.567.046.656","13,1","0,0"
"19:13:22.584, 10 giu 2023","3.447.717.920","2.569.143.808","12,2","0,0"
"19:13:23.585, 10 giu 2023","3.447.717.920","2.569.143.808","12,6","0,0"
"19:13:24.586, 10 giu 2023","3.447.717.920","2.569.143.808","12,2","0,0"
"19:13:25.588, 10 giu 2023","3.447.717.920","2.569.143.808","12,3","0,0"
"19:13:26.589, 10 giu 2023","3.447.717.920","2.569.143.808","12,2","0,0"
"19:13:27.590, 10 giu 2023","3.447.717.920","2.569.143.808","12,7","0,0"
"19:13:28.591, 10 giu 2023","3.447.717.920","2.569.143.808","12,5","0,0"
"19:13:29.593, 10 giu 2023","3.447.717.920","2.569.143.808","13,0","0,0"
"19:13:30.595, 10 giu 2023","3.447.717.920","2.571.240.960","12,3","0,0"
"19:13:31.597, 10 giu 2023","3.447.717.920","2.571.240.960","12,4","0,0"
"19:13:32.598, 10 giu 2023","3.447.717.920","2.571.240.960","12,2","0,0"
"19:13:33.599, 10 giu 2023","3.447.717.920","2.571.240.960","13,1","0,0"
"19:13:34.600, 10 giu 2023","3.447.717.920","2.571.240.960","12,4","0,0"
"19:13:35.602, 10 giu 2023","3.447.717.920","2.571.240.960","12,0","0,0"
"19:13:36.604, 10 giu 2023","3.447.717.920","2.571.240.960","12,2","0,0"
"19:13:37.606, 10 giu 2023","3.447.717.920","2.571.240.960","13,1","0,0"
"19:13:38.607, 10 giu 2023","3.447.717.920","2.573.338.112","12,2","0,0"
"19:13:39.608, 10 giu 2023","3.447.717.920","2.573.338.112","12,3","0,0"
"19:13:40.609, 10 giu 2023","3.447.717.920","2.573.338.112","12,3","0,0"
"19:13:41.610, 10 giu 2023","3.447.717.920","2.573.338.112","13,1","0,0"
"19:13:42.611, 10 giu 2023","3.447.717.920","2.573.338.112","12,2","0,0"
"19:13:43.612, 10 giu 2023","3.447.717.920","2.573.338.112","12,5","0,0"
"19:13:44.614, 10 giu 2023","3.447.717.920","2.573.338.112","12,3","0,0"
"19:13:45.615, 10 giu 2023","3.447.717.920","2.573.338.112","12,3","0,0"
"19:13:46.616, 10 giu 2023","3.447.717.920","2.575.435.264","13,1","0,0"
"19:13:47.617, 10 giu 2023","3.447.717.920","2.575.435.264","12,3","0,0"
"19:13:48.619, 10 giu 2023","3.447.717.920","2.575.435.264","12,3","0,0"
"19:13:49.621, 10 giu 2023","3.447.717.920","2.575.435.264","12,7","0,0"
"19:13:50.622, 10 giu 2023","3.447.717.920","2.575.435.264","12,5","0,0"
"19:13:51.623, 10 giu 2023","3.447.717.920","2.575.435.264","12,4","0,0"
"19:13:52.624, 10 giu 2023","3.447.717.920","2.575.435.264","13,1","0,0"
"19:13:53.625, 10 giu 2023","3.447.717.920","2.575.435.264","12,2","0,0"
"19:13:54.626, 10 giu 2023","3.447.717.920","2.575.435.264","12,6","0,0"
"19:13:55.627, 10 giu 2023","3.447.717.920","2.577.532.416","12,9","0,0"
"19:13:56.628, 10 giu 2023","3.447.717.920","2.577.532.416","12,2","0,0"
"19:13:57.629, 10 giu 2023","3.447.717.920","2.577.532.416","12,2","0,0"
"19:13:58.630, 10 giu 2023","3.447.717.920","2.577.532.416","13,1","0,0"
"19:13:59.632, 10 giu 2023","3.447.717.920","2.577.532.416","12,3","0,0"
"19:14:00.633, 10 giu 2023","3.447.717.920","2.577.532.416","12,2","0,0"
"19:14:01.635, 10 giu 2023","3.447.717.920","2.577.532.416","12,5","0,0"
"19:14:02.636, 10 giu 2023","3.447.717.920","2.577.532.416","12,3","0,0"
"19:14:03.637, 10 giu 2023","3.447.717.920","2.579.629.568","12,8","0,0"
"19:14:04.638, 10 giu 2023","3.447.717.920","2.579.629.568","12,2","0,0"
"19:14:05.638, 10 giu 2023","3.447.717.920","2.579.629.568","13,2","0,0"
"19:14:06.640, 10 giu 2023","3.447.717.920","2.579.629.568","12,4","0,0"
"19:14:07.642, 10 giu 2023","3.447.717.920","2.579.629.568","12,2","0,0"
"19:14:08.642, 10 giu 2023","3.447.717.920","2.579.629.568","12,4","0,0"
"19:14:09.643, 10 giu 2023","3.447.717.920","2.579.629.568","12,5","0,0"
"19:14:10.644, 10 giu 2023","3.447.717.920","2.579.629.568","12,9","0,0"
"19:14:11.645, 10 giu 2023","3.447.717.920","2.581.726.720","12,3","0,0"
"19:14:12.647, 10 giu 2023","3.447.717.920","2.581.726.720","12,2","0,0"
"19:14:13.648, 10 giu 2023","3.447.717.920","2.581.726.720","13,2","0,0"
"19:14:14.650, 10 giu 2023","3.447.717.920","2.581.726.720","12,2","0,0"
"19:14:15.651, 10 giu 2023","3.447.717.920","2.581.726.720","12,3","0,0"
"19:14:16.652, 10 giu 2023","3.447.717.920","2.581.726.720","12,2","0,0"
"19:14:17.654, 10 giu 2023","3.447.717.920","2.581.726.720","13,0","0,0"
"19:14:18.655, 10 giu 2023","3.447.717.920","2.581.726.720","12,2","0,0"
"19:14:19.656, 10 giu 2023","3.447.717.920","2.583.823.872","12,5","0,0"
"19:14:20.657, 10 giu 2023","3.447.717.920","2.583.823.872","12,3","0,0"
"19:14:21.659, 10 giu 2023","3.447.717.920","2.583.823.872","12,4","0,0"
"19:14:22.661, 10 giu 2023","3.447.717.920","2.583.823.872","12,2","0,0"
"19:14:23.663, 10 giu 2023","3.447.717.920","2.583.823.872","13,0","0,0"
"19:14:24.663, 10 giu 2023","3.447.717.920","2.583.823.872","12,2","0,0"
"19:14:25.664, 10 giu 2023","3.447.717.920","2.583.823.872","12,5","0,0"
"19:14:26.665, 10 giu 2023","3.447.717.920","2.583.823.872","12,3","0,0"
"19:14:27.666, 10 giu 2023","3.447.717.920","2.583.823.872","12,3","0,0"
"19:14:28.667, 10 giu 2023","3.447.717.920","2.585.921.024","13,0","0,0"
"19:14:29.668, 10 giu 2023","3.447.717.920","2.585.921.024","12,4","0,0"
"19:14:30.669, 10 giu 2023","3.447.717.920","2.585.921.024","12,2","0,0"
"19:14:31.670, 10 giu 2023","3.447.717.920","2.585.921.024","12,7","0,0"
"19:14:32.671, 10 giu 2023","3.447.717.920","2.585.921.024","12,8","0,0"
"19:14:33.672, 10 giu 2023","3.447.717.920","2.585.921.024","12,2","0,0"
"19:14:34.673, 10 giu 2023","3.447.717.920","2.585.921.024","12,6","0,0"
"19:14:35.674, 10 giu 2023","3.447.717.920","2.585.921.024","12,7","0,0"
"19:14:36.675, 10 giu 2023","3.447.717.920","2.413.276.608","11,5","0,0"
"19:14:37.676, 10 giu 2023","3.447.717.920","2.413.276.608","20,6","0,6"
"19:14:38.677, 10 giu 2023","3.447.717.920","2.415.373.760","13,0","0,0"
"19:14:39.679, 10 giu 2023","3.447.717.920","2.415.373.760","12,3","0,0"
"19:14:40.680, 10 giu 2023","3.447.717.920","2.415.373.760","12,2","0,0"
"19:14:41.680, 10 giu 2023","3.447.717.920","2.415.373.760","13,0","0,0"
"19:14:42.681, 10 giu 2023","3.447.717.920","2.415.373.760","12,2","0,0"
"19:14:43.682, 10 giu 2023","3.447.717.920","2.415.373.760","12,5","0,0"
"19:14:44.683, 10 giu 2023","3.447.717.920","2.415.373.760","12,2","0,0"
"19:14:45.684, 10 giu 2023","3.447.717.920","2.415.373.760","12,3","0,0"
"19:14:46.685, 10 giu 2023","3.447.717.920","2.415.373.760","12,3","0,0"
"19:14:47.687, 10 giu 2023","3.447.717.920","2.417.470.912","13,0","0,0"
"19:14:48.688, 10 giu 2023","3.447.717.920","2.417.470.912","11,8","0,0"
"19:14:49.689, 10 giu 2023","3.447.717.920","2.417.470.912","13,5","0,0"
"19:14:50.690, 10 giu 2023","3.447.717.920","2.417.470.912","12,5","0,0"
"19:14:51.691, 10 giu 2023","3.447.717.920","2.417.470.912","12,2","0,0"
"19:14:52.692, 10 giu 2023","3.447.717.920","2.417.470.912","12,4","0,0"
"19:14:53.694, 10 giu 2023","3.447.717.920","2.417.470.912","12,9","0,0"
"19:14:54.695, 10 giu 2023","3.447.717.920","2.417.470.912","13,1","0,0"
"19:14:55.696, 10 giu 2023","3.447.717.920","2.417.470.912","11,9","0,0"
"19:14:56.697, 10 giu 2023","3.447.717.920","2.419.568.064","12,3","0,0"
"19:14:57.698, 10 giu 2023","3.447.717.920","2.419.568.064","13,3","0,0"
"19:14:58.700, 10 giu 2023","3.447.717.920","2.419.568.064","12,2","0,0"
"19:14:59.700, 10 giu 2023","3.447.717.920","2.419.568.064","12,3","0,0"
"19:15:00.702, 10 giu 2023","3.447.717.920","2.419.568.064","12,3","0,0"
"19:15:01.703, 10 giu 2023","3.447.717.920","2.419.568.064","12,3","0,0"
"19:15:02.704, 10 giu 2023","3.447.717.920","2.419.568.064","12,5","0,0"
"19:15:03.705, 10 giu 2023","3.447.717.920","2.419.568.064","13,1","0,0"
"19:15:04.706, 10 giu 2023","3.447.717.920","2.419.568.064","12,2","0,0"
"19:15:05.707, 10 giu 2023","3.447.717.920","2.421.665.216","12,2","0,0"
"19:15:06.708, 10 giu 2023","3.447.717.920","2.421.665.216","12,2","0,0"
"19:15:07.709, 10 giu 2023","3.447.717.920","2.421.665.216","13,1","0,0"
"19:15:08.710, 10 giu 2023","3.447.717.920","2.421.665.216","12,5","0,0"
"19:15:09.712, 10 giu 2023","3.447.717.920","2.421.665.216","12,3","0,0"
"19:15:10.713, 10 giu 2023","3.447.717.920","2.421.665.216","12,4","0,0"
"19:15:11.715, 10 giu 2023","3.447.717.920","2.423.762.368","13,0","0,0"
"19:15:12.716, 10 giu 2023","3.447.717.920","2.423.762.368","12,2","0,0"
"19:15:13.717, 10 giu 2023","3.447.717.920","2.423.762.368","12,2","0,0"
"19:15:14.718, 10 giu 2023","3.447.717.920","2.423.762.368","13,0","0,0"
"19:15:15.719, 10 giu 2023","3.447.717.920","2.423.762.368","12,2","0,0"
"19:15:16.720, 10 giu 2023","3.447.717.920","2.423.762.368","12,3","0,0"
"19:15:17.722, 10 giu 2023","3.447.717.920","2.423.762.368","12,4","0,0"
"19:15:18.723, 10 giu 2023","3.447.717.920","2.423.762.368","13,0","0,0"
"19:15:19.724, 10 giu 2023","3.447.717.920","2.423.762.368","12,2","0,0"
"19:15:20.726, 10 giu 2023","3.447.717.920","2.423.762.368","12,2","0,0"
"19:15:21.727, 10 giu 2023","3.447.717.920","2.425.859.520","12,4","0,0"
"19:15:22.728, 10 giu 2023","3.447.717.920","2.425.859.520","13,1","0,0"
"19:15:23.730, 10 giu 2023","3.447.717.920","2.425.859.520","12,5","0,0"
"19:15:24.732, 10 giu 2023","3.447.717.920","2.425.859.520","12,4","0,0"
"19:15:25.734, 10 giu 2023","3.447.717.920","2.425.859.520","12,2","0,0"
"19:15:26.735, 10 giu 2023","3.447.717.920","2.425.859.520","12,6","0,0"
"19:15:27.737, 10 giu 2023","3.447.717.920","2.425.859.520","12,4","0,0"
"19:15:28.739, 10 giu 2023","3.447.717.920","2.425.859.520","12,6","0,0"
"19:15:29.741, 10 giu 2023","3.447.717.920","2.427.956.672","12,4","0,0"
"19:15:30.742, 10 giu 2023","3.447.717.920","2.427.956.672","12,4","0,0"
"19:15:31.743, 10 giu 2023","3.447.717.920","2.427.956.672","13,0","0,0"
"19:15:32.744, 10 giu 2023","3.447.717.920","2.427.956.672","12,2","0,0"
"19:15:33.745, 10 giu 2023","3.447.717.920","2.427.956.672","12,3","0,0"
"19:15:34.746, 10 giu 2023","3.447.717.920","2.427.956.672","13,0","0,0"
"19:15:35.747, 10 giu 2023","3.447.717.920","2.427.956.672","12,3","0,0"
"19:15:36.748, 10 giu 2023","3.447.717.920","2.427.956.672","12,2","0,0"
"19:15:37.749, 10 giu 2023","3.447.717.920","2.430.053.824","12,3","0,0"
"19:15:38.750, 10 giu 2023","3.447.717.920","2.430.053.824","12,6","0,0"
"19:15:39.751, 10 giu 2023","3.447.717.920","2.430.053.824","12,3","0,0"
"19:15:40.752, 10 giu 2023","3.447.717.920","2.430.053.824","13,1","0,0"
"19:15:41.753, 10 giu 2023","3.447.717.920","2.430.053.824","12,6","0,0"
"19:15:42.755, 10 giu 2023","3.447.717.920","2.430.053.824","12,2","0,0"
"19:15:43.757, 10 giu 2023","3.447.717.920","2.430.053.824","12,2","0,0"
"19:15:44.759, 10 giu 2023","3.447.717.920","2.430.053.824","13,1","0,0"
"19:15:45.760, 10 giu 2023","3.447.717.920","2.430.053.824","12,2","0,0"
"19:15:46.761, 10 giu 2023","3.447.717.920","2.432.150.976","12,1","0,0"
"19:15:47.762, 10 giu 2023","3.447.717.920","2.432.150.976","13,3","0,0"
"19:15:48.763, 10 giu 2023","3.447.717.920","2.432.150.976","12,5","0,0"
"19:15:49.764, 10 giu 2023","3.447.717.920","2.432.150.976","12,4","0,0"
"19:15:50.765, 10 giu 2023","3.447.717.920","2.432.150.976","12,4","0,0"
"19:15:51.766, 10 giu 2023","3.447.717.920","2.432.150.976","12,2","0,0"
"19:15:52.768, 10 giu 2023","3.447.717.920","2.432.150.976","12,4","0,0"
"19:15:53.769, 10 giu 2023","3.447.717.920","2.432.150.976","13,1","0,0"
"19:15:54.770, 10 giu 2023","3.447.717.920","2.434.248.128","12,4","0,0"
"19:15:55.771, 10 giu 2023","3.447.717.920","2.434.248.128","12,4","0,0"
"19:15:56.772, 10 giu 2023","3.447.717.920","2.434.248.128","12,3","0,0"
"19:15:57.773, 10 giu 2023","3.447.717.920","2.434.248.128","12,4","0,0"
"19:15:58.774, 10 giu 2023","3.447.717.920","2.434.248.128","13,3","0,0"
"19:15:59.775, 10 giu 2023","3.447.717.920","2.434.248.128","12,5","0,0"
"19:16:00.776, 10 giu 2023","3.447.717.920","2.434.248.128","12,4","0,0"
"19:16:01.777, 10 giu 2023","3.447.717.920","2.434.248.128","12,2","0,0"
"19:16:02.778, 10 giu 2023","3.447.717.920","2.436.345.280","13,0","0,0"
"19:16:03.779, 10 giu 2023","3.447.717.920","2.436.345.280","12,2","0,0"
"19:16:04.780, 10 giu 2023","3.447.717.920","2.436.345.280","12,3","0,0"
"19:16:05.781, 10 giu 2023","3.447.717.920","2.436.345.280","12,3","0,0"
"19:16:06.782, 10 giu 2023","3.447.717.920","2.436.345.280","12,5","0,0"
"19:16:07.784, 10 giu 2023","3.447.717.920","2.436.345.280","13,2","0,0"
"19:16:08.785, 10 giu 2023","3.447.717.920","2.436.345.280","12,5","0,0"
"19:16:09.786, 10 giu 2023","3.447.717.920","2.436.345.280","12,5","0,0"
"19:16:10.787, 10 giu 2023","3.447.717.920","2.436.345.280","12,4","0,0"
"19:16:11.788, 10 giu 2023","3.447.717.920","2.438.442.432","12,3","0,0"
"19:16:12.790, 10 giu 2023","3.447.717.920","2.438.442.432","12,2","0,0"
"19:16:13.791, 10 giu 2023","3.447.717.920","2.438.442.432","13,0","0,0"
"19:16:14.792, 10 giu 2023","3.447.717.920","2.438.442.432","12,3","0,0"
"19:16:15.793, 10 giu 2023","3.447.717.920","2.438.442.432","12,5","0,0"
"19:16:16.794, 10 giu 2023","3.447.717.920","2.438.442.432","12,2","0,0"
"19:16:17.795, 10 giu 2023","3.447.717.920","2.438.442.432","12,2","0,0"
"19:16:18.797, 10 giu 2023","3.447.717.920","2.438.442.432","13,1","0,0"
"19:16:19.798, 10 giu 2023","3.447.717.920","2.438.442.432","12,1","0,0"
"19:16:20.799, 10 giu 2023","3.447.717.920","2.440.539.584","12,6","0,0"
"19:16:21.800, 10 giu 2023","3.447.717.920","2.440.539.584","13,1","0,0"
"19:16:22.801, 10 giu 2023","3.447.717.920","2.440.539.584","12,3","0,0"
"19:16:23.801, 10 giu 2023","3.447.717.920","2.440.539.584","12,3","0,0"
"19:16:24.802, 10 giu 2023","3.447.717.920","2.440.539.584","12,5","0,0"
"19:16:25.803, 10 giu 2023","3.447.717.920","2.440.539.584","12,3","0,0"
"19:16:26.803, 10 giu 2023","3.447.717.920","2.440.539.584","13,1","0,0"
"19:16:27.804, 10 giu 2023","3.447.717.920","2.442.636.736","12,2","0,0"
"19:16:28.805, 10 giu 2023","3.447.717.920","2.442.636.736","12,5","0,0"
"19:16:29.806, 10 giu 2023","3.447.717.920","2.442.636.736","12,3","0,0"
"19:16:30.807, 10 giu 2023","3.447.717.920","2.442.636.736","12,2","0,0"
"19:16:31.809, 10 giu 2023","3.447.717.920","2.442.636.736","12,3","0,0"
"19:16:32.811, 10 giu 2023","3.447.717.920","2.442.636.736","12,4","0,0"
"19:16:33.813, 10 giu 2023","3.447.717.920","2.442.636.736","13,3","0,0"
"19:16:34.814, 10 giu 2023","3.447.717.920","2.442.636.736","12,3","0,0"
"19:16:35.816, 10 giu 2023","3.447.717.920","2.442.636.736","12,4","0,0"
"19:16:36.818, 10 giu 2023","3.447.717.920","2.442.636.736","12,2","0,0"
"19:16:37.819, 10 giu 2023","3.447.717.920","2.444.733.888","13,1","0,0"
"19:16:38.820, 10 giu 2023","3.447.717.920","2.444.733.888","12,2","0,0"
"19:16:39.821, 10 giu 2023","3.447.717.920","2.444.733.888","12,2","0,0"
"19:16:40.823, 10 giu 2023","3.447.717.920","2.444.733.888","13,0","0,0"
"19:16:41.824, 10 giu 2023","3.447.717.920","2.444.733.888","12,2","0,0"
"19:16:42.825, 10 giu 2023","3.447.717.920","2.444.733.888","12,3","0,0"
"19:16:43.825, 10 giu 2023","3.447.717.920","2.444.733.888","12,2","0,0"
"19:16:44.826, 10 giu 2023","3.447.717.920","2.444.733.888","13,3","0,0"
"19:16:45.827, 10 giu 2023","3.447.717.920","2.446.831.040","12,3","0,0"
"19:16:46.828, 10 giu 2023","3.447.717.920","2.446.831.040","12,1","0,0"
"19:16:47.829, 10 giu 2023","3.447.717.920","2.446.831.040","12,3","0,0"
"19:16:48.830, 10 giu 2023","3.447.717.920","2.446.831.040","12,2","0,0"
"19:16:49.831, 10 giu 2023","3.447.717.920","2.446.831.040","13,4","0,0"
"19:16:50.832, 10 giu 2023","3.447.717.920","2.446.831.040","12,2","0,0"
"19:16:51.833, 10 giu 2023","3.447.717.920","2.446.831.040","12,2","0,0"
"19:16:52.835, 10 giu 2023","3.447.717.920","2.448.928.192","13,0","0,0"
"19:16:53.836, 10 giu 2023","3.447.717.920","2.448.928.192","12,2","0,0"
"19:16:54.838, 10 giu 2023","3.447.717.920","2.448.928.192","12,2","0,0"
"19:16:55.840, 10 giu 2023","3.447.717.920","2.448.928.192","12,3","0,0"
"19:16:56.841, 10 giu 2023","3.447.717.920","2.448.928.192","13,1","0,0"
"19:16:57.842, 10 giu 2023","3.447.717.920","2.448.928.192","12,2","0,0"
"19:16:58.844, 10 giu 2023","3.447.717.920","2.448.928.192","12,3","0,0"
"19:16:59.846, 10 giu 2023","3.447.717.920","2.448.928.192","12,8","0,0"
"19:17:00.848, 10 giu 2023","3.447.717.920","2.448.928.192","12,2","0,0"
"19:17:01.850, 10 giu 2023","3.447.717.920","2.448.928.192","13,1","0,0"
